Base,N1,N2,N3,N4,N5,N6,NN
A,0.23928228402085983,0.23526736894407735,0.22985832451604746,0.23307912931797461,0.22823017663408152,0.22739613902697092,0.23218557041000196
C,0.20657514434839702,0.20943660316002652,0.20680916287911558,0.20498914198381168,0.20441463203636048,0.1960498559288761,0.20471242338943124
G,0.28224963899037087,0.28881546696124166,0.2915227619066632,0.29438754799598066,0.2887234122785419,0.30092010318997203,0.2911031552204617
T,0.2718929326403723,0.2664805609346545,0.27180975069817376,0.26754418070223307,0.27863177905101605,0.27563390185418096,0.2719988509801051
